Rooms,Type,Price,Bathroom,Car,BuildingArea,YearBuilt,Price_Category
2,3,1275000,1,0.0,82.0,1900.0,1
3,3,2850000,2,0.0,198.0,1890.0,1
3,3,1850000,2,0.0,133.0,1890.0,1
2,3,1436000,1,0.0,81.0,1900.0,1
4,3,2300000,2,1.0,180.0,1880.0,1
3,3,1800000,2,1.0,159.0,1996.0,1
2,3,2120000,1,1.0,107.0,1900.0,1
3,3,1800000,2,1.0,122.0,1900.0,1
3,3,2615000,2,1.0,181.0,1880.0,1
3,3,1370000,2,2.0,85.0,2000.0,1
2,3,1322500,1,0.0,98.0,1890.0,1
2,3,1562500,1,0.0,83.0,1890.0,1
3,3,2000000,2,1.0,147.0,1900.0,1
3,3,3010000,2,0.0,146.0,1890.0,1
4,3,2800000,3,1.0,254.0,1910.0,1
3,3,2100000,1,1.0,123.0,1900.0,1
3,3,2000000,1,1.0,131.0,1890.0,1
1,1,442500,1,0.0,34.0,1970.0,0
4,3,2140000,2,1.0,145.0,1880.0,1
2,3,980000,1,0.0,68.0,1890.0,0
3,3,1740000,2,2.0,134.0,1890.0,1
1,3,985000,1,0.0,54.0,1900.0,0
2,1,599000,1,1.0,76.0,1964.0,0
3,1,995000,2,2.0,100.0,1998.0,0
3,2,1205000,2,2.0,105.0,2000.0,1
3,3,1939000,2,2.0,150.0,1889.0,1
3,3,1870000,1,1.0,116.0,1888.0,1
3,2,1918000,2,2.0,165.0,1995.0,1
3,3,2050000,2,1.0,116.0,1910.0,1
3,1,735000,2,1.0,14.0,1970.0,0
1,3,1435000,2,1.0,107.0,1900.0,1
1,1,280000,1,1.0,38.0,1975.0,0
2,1,592500,1,1.0,73.0,1970.0,0
2,3,1210000,1,0.0,96.0,1910.0,1
4,3,2801000,2,2.0,222.0,1900.0,1
3,3,1800000,2,2.0,121.0,1910.0,1
4,3,2200000,1,2.0,163.0,1900.0,1
1,1,440000,1,1.0,53.0,1970.0,0
3,3,1300000,1,2.0,106.0,1900.0,1
2,1,704000,1,1.0,74.0,1969.0,0
2,1,620000,1,1.0,98.0,1970.0,0
3,3,1900000,1,2.0,108.0,1900.0,1
2,1,710000,1,1.0,80.0,1970.0,0
2,1,598000,1,1.0,88.0,1970.0,0
3,3,1285000,1,2.0,80.0,1920.0,1
2,1,520000,1,1.0,76.0,1970.0,0
3,2,1101000,1,2.0,3.0,2000.0,0
3,1,869000,1,1.0,91.0,1940.0,0
1,1,567000,1,1.0,53.0,2013.0,0
3,3,1670000,2,2.0,220.0,1930.0,1
3,3,1555000,2,2.0,149.0,1935.0,1
3,3,1100000,3,2.0,178.0,2004.0,0
3,3,1337000,1,2.0,112.0,1950.0,1
3,3,1518000,2,2.0,145.0,1920.0,1
3,3,1710000,1,2.0,101.0,1950.0,1
3,3,1655000,1,3.0,152.0,1940.0,1
4,3,1550000,2,2.0,180.0,1938.0,1
3,3,1662000,2,2.0,228.0,2006.0,1
